day,hour,origen_barrio,origen_cap,cantidad,longitude,latitude
1,4,VILLA GRAL. MITRE,1,7,-58.46894292,-34.6100287
1,4,VILLA LUGANO,1,95,-58.47616703,-34.67499311
1,4,VILLA LURO,1,8,-58.50272906,-34.63641326
1,4,VILLA ORTUZAR,1,13,-58.46765121,-34.58097343
1,4,VILLA PUEYRREDON,1,23,-58.50349866,-34.58210304
1,4,VILLA REAL,1,13,-58.52603869,-34.61949319
1,4,VILLA RIACHUELO,1,22,-58.46334995,-34.69185842
1,4,VILLA SANTA RITA,1,37,-58.48295679,-34.61619346
1,4,VILLA SOLDATI,1,16,-58.44660206,-34.66537818
1,4,VILLA URQUIZA,1,31,-58.4878555,-34.57154052
1,5,AGRONOMIA,1,36,-58.48867266,-34.59294472
1,5,ALMAGRO,1,261,-58.42174452,-34.60922726
1,5,ALMIRANTE BROWN,0,491,-58.36739785,-34.8355701
1,5,AVELLANEDA,0,879,-58.34130219,-34.67822151
1,5,BALVANERA,1,571,-58.40306169,-34.6090994
1,5,BARRACAS,1,321,-58.38427511,-34.64641752
1,5,BELGRANO,1,324,-58.45029805,-34.55489158
1,5,BERAZATEGUI,0,383,-58.15526069,-34.81793907
1,5,BOCA,1,132,-58.35687956,-34.63111612
1,5,BOEDO,1,91,-58.41883975,-34.6299599
1,5,CABALLITO,1,363,-58.44360306,-34.61682542
1,5,CHACARITA,1,148,-58.45417483,-34.58837214
1,5,COGHLAN,1,16,-58.47494433,-34.56062377
1,5,COLEGIALES,1,74,-58.45096795,-34.57464156
1,5,CONSTITUCION,1,493,-58.38438814,-34.62504415
1,5,ESCOBAR,0,132,-58.77112814,-34.32871815
1,5,ESTEBAN ECHEVERRIA,0,310,-58.47696902,-34.83120997
1,5,EZEIZA,0,73,-58.56483953,-34.87582135
1,5,FLORENCIO VARELA,0,408,-58.25863776,-34.87787299
1,5,FLORES,1,226,-58.45826804,-34.63680312
1,5,FLORESTA,1,70,-58.48358753,-34.62768578
1,5,GENERAL SAN MARTIN,0,302,-58.56430565,-34.55265233
1,5,HURLINGHAM,0,117,-58.64969436,-34.59921401
1,5,ITUZAINGO,0,81,-58.68875833,-34.63600182
1,5,JOSE C. PAZ,0,274,-58.77767109,-34.51187589
1,5,LA MATANZA,0,2041,-58.62538227,-34.77012002
1,5,LANUS,0,668,-58.39547449,-34.70576064
1,5,LINIERS,1,383,-58.51912811,-34.64379602
1,5,LOMAS DE ZAMORA,0,548,-58.42404113,-34.7555056
1,5,MALVINAS ARGENTINAS,0,267,-58.712133,-34.48730383
1,5,MATADEROS,1,158,-58.50173703,-34.65837345
1,5,MERLO,0,241,-58.74187776,-34.71088678
1,5,MONSERRAT,1,282,-58.37964847,-34.61268563
1,5,MONTE CASTRO,1,32,-58.50658095,-34.61929776
1,5,MORENO,0,289,-58.81092327,-34.61061712
1,5,MORON,0,391,-58.61984335,-34.64914107
1,5,NUEVA POMPEYA,1,335,-58.41885257,-34.65054408
1,5,NUNEZ,1,66,-58.46285879,-34.54373767
1,5,PALERMO,1,1451,-58.42243478,-34.57390245
1,5,PARQUE AVELLANEDA,1,95,-58.47645528,-34.64864159
1,5,PARQUE CHACABUCO,1,98,-58.43769584,-34.63593994
1,5,PARQUE CHAS,1,22,-58.47912136,-34.58552269
1,5,PARQUE PATRICIOS,1,138,-58.40167518,-34.63755033
1,5,PATERNAL,1,33,-58.46866484,-34.59742118
1,5,PILAR,0,76,-58.90344139,-34.44819902
1,5,PRESIDENTE PERON,0,15,-58.39809124,-34.9298313
1,5,PUERTO MADERO,1,11,-58.35571275,-34.60905372
1,5,QUILMES,0,679,-58.27674869,-34.73506242
1,5,RECOLETA,1,308,-58.39521874,-34.58623775
1,5,RETIRO,1,435,-58.37592173,-34.58841231
1,5,SAAVEDRA,1,171,-58.4887446,-34.55307606
1,5,SAN CRISTOBAL,1,123,-58.40188403,-34.6238645
1,5,SAN FERNANDO,0,197,-58.56629736,-34.45545665
1,5,SAN FERNANDO,0,197,-58.55408337,-34.14166569
1,5,SAN ISIDRO,0,443,-58.53753207,-34.48729629
1,5,SAN MIGUEL,0,649,-58.69170552,-34.55209197
1,5,SAN NICOLAS,1,373,-58.38051517,-34.60366599
1,5,SAN TELMO,1,95,-58.37154103,-34.62152049
1,5,TIGRE,0,561,-58.61687555,-34.38565106
1,5,TRES DE FEBRERO,0,279,-58.57913045,-34.59594723
1,5,VELEZ SARSFIELD,1,70,-58.49327669,-34.63136139
1,5,VERSALLES,1,13,-58.52241724,-34.63012294
1,5,VICENTE LOPEZ,0,461,-58.50461476,-34.52659375
1,5,VILLA CRESPO,1,262,-58.44272186,-34.59883365
1,5,VILLA DEL PARQUE,1,41,-58.49067708,-34.60424664
1,5,VILLA DEVOTO,1,135,-58.51428246,-34.60235465
1,5,VILLA GRAL. MITRE,1,43,-58.46894292,-34.6100287
1,5,VILLA LUGANO,1,240,-58.47616703,-34.67499311
1,5,VILLA LURO,1,23,-58.50272906,-34.63641326
1,5,VILLA ORTUZAR,1,23,-58.46765121,-34.58097343
1,5,VILLA PUEYRREDON,1,43,-58.50349866,-34.58210304
1,5,VILLA REAL,1,61,-58.52603869,-34.61949319
1,5,VILLA RIACHUELO,1,41,-58.46334995,-34.69185842
1,5,VILLA SANTA RITA,1,34,-58.48295679,-34.61619346
1,5,VILLA SOLDATI,1,43,-58.44660206,-34.66537818
1,5,VILLA URQUIZA,1,91,-58.4878555,-34.57154052
1,6,AGRONOMIA,1,66,-58.48867266,-34.59294472
1,6,ALMAGRO,1,408,-58.42174452,-34.60922726
1,6,ALMIRANTE BROWN,0,711,-58.36739785,-34.8355701
1,6,AVELLANEDA,0,1183,-58.34130219,-34.67822151
1,6,BALVANERA,1,838,-58.40306169,-34.6090994
1,6,BARRACAS,1,492,-58.38427511,-34.64641752
1,6,BELGRANO,1,508,-58.45029805,-34.55489158
1,6,BERAZATEGUI,0,504,-58.15526069,-34.81793907
1,6,BOCA,1,184,-58.35687956,-34.63111612
1,6,BOEDO,1,147,-58.41883975,-34.6299599
1,6,CABALLITO,1,532,-58.44360306,-34.61682542
1,6,CHACARITA,1,176,-58.45417483,-34.58837214
1,6,COGHLAN,1,26,-58.47494433,-34.56062377
1,6,COLEGIALES,1,95,-58.45096795,-34.57464156
1,6,CONSTITUCION,1,771,-58.38438814,-34.62504415
1,6,ESCOBAR,0,163,-58.77112814,-34.32871815
1,6,ESTEBAN ECHEVERRIA,0,472,-58.47696902,-34.83120997
1,6,EZEIZA,0,140,-58.56483953,-34.87582135
1,6,FLORENCIO VARELA,0,557,-58.25863776,-34.87787299
1,6,FLORES,1,517,-58.45826804,-34.63680312
1,6,FLORESTA,1,108,-58.48358753,-34.62768578
1,6,GENERAL SAN MARTIN,0,655,-58.56430565,-34.55265233
1,6,HURLINGHAM,0,123,-58.64969436,-34.59921401
1,6,ITUZAINGO,0,142,-58.68875833,-34.63600182
1,6,JOSE C. PAZ,0,385,-58.77767109,-34.51187589
1,6,LA MATANZA,0,3229,-58.62538227,-34.77012002
1,6,LANUS,0,971,-58.39547449,-34.70576064
1,6,LINIERS,1,483,-58.51912811,-34.64379602
1,6,LOMAS DE ZAMORA,0,1051,-58.42404113,-34.7555056
1,6,MALVINAS ARGENTINAS,0,693,-58.712133,-34.48730383
1,6,MATADEROS,1,282,-58.50173703,-34.65837345
1,6,MERLO,0,320,-58.74187776,-34.71088678
1,6,MONSERRAT,1,436,-58.37964847,-34.61268563
1,6,MONTE CASTRO,1,64,-58.50658095,-34.61929776
1,6,MORENO,0,490,-58.81092327,-34.61061712
1,6,MORON,0,636,-58.61984335,-34.64914107
1,6,NUEVA POMPEYA,1,530,-58.41885257,-34.65054408
1,6,NUNEZ,1,115,-58.46285879,-34.54373767
1,6,PALERMO,1,1660,-58.42243478,-34.57390245
1,6,PARQUE AVELLANEDA,1,190,-58.47645528,-34.64864159
1,6,PARQUE CHACABUCO,1,128,-58.43769584,-34.63593994
1,6,PARQUE CHAS,1,29,-58.47912136,-34.58552269
1,6,PARQUE PATRICIOS,1,180,-58.40167518,-34.63755033
1,6,PATERNAL,1,59,-58.46866484,-34.59742118
1,6,PILAR,0,187,-58.90344139,-34.44819902
1,6,PRESIDENTE PERON,0,12,-58.39809124,-34.9298313
1,6,PUERTO MADERO,1,27,-58.35571275,-34.60905372
1,6,QUILMES,0,939,-58.27674869,-34.73506242
1,6,RECOLETA,1,482,-58.39521874,-34.58623775
1,6,RETIRO,1,610,-58.37592173,-34.58841231
1,6,SAAVEDRA,1,211,-58.4887446,-34.55307606
1,6,SAN CRISTOBAL,1,144,-58.40188403,-34.6238645
1,6,SAN FERNANDO,0,372,-58.56629736,-34.45545665
1,6,SAN FERNANDO,0,372,-58.55408337,-34.14166569
1,6,SAN ISIDRO,0,909,-58.53753207,-34.48729629
1,6,SAN MIGUEL,0,828,-58.69170552,-34.55209197
1,6,SAN NICOLAS,1,590,-58.38051517,-34.60366599
1,6,SAN TELMO,1,116,-58.37154103,-34.62152049
1,6,TIGRE,0,869,-58.61687555,-34.38565106
1,6,TRES DE FEBRERO,0,547,-58.57913045,-34.59594723
1,6,VELEZ SARSFIELD,1,81,-58.49327669,-34.63136139
1,6,VERSALLES,1,31,-58.52241724,-34.63012294
1,6,VICENTE LOPEZ,0,719,-58.50461476,-34.52659375
1,6,VILLA CRESPO,1,321,-58.44272186,-34.59883365
1,6,VILLA DEL PARQUE,1,93,-58.49067708,-34.60424664
